k,id,repo,recall_at_k,precision_at_k,mrr_at_k,gt_category_count
3,synthetic-pandas_PR_36,kannan-dedsec/synthetic-pandas,0.3333333333333333,1.0,0.3333333333333333,3
3,synthetic-pandas_PR_38,kannan-dedsec/synthetic-pandas,1.0,0.3333333333333333,1.0,1
3,synthetic-pandas_PR_40,kannan-dedsec/synthetic-pandas,0.3333333333333333,1.0,0.3333333333333333,3
3,synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,0.6666666666666666,1.0,0.4444444444444444,3
3,synthetic-sklearn_PR_25,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,1
3,synthetic-sklearn_PR_28,kannan-dedsec/synthetic-sklearn,0.5,0.3333333333333333,0.25,2
3,synthetic-sklearn_PR_30,kannan-dedsec/synthetic-sklearn,0.5,1.0,0.5,2
3,synthetic-sklearn_PR_31,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,1
3,synthetic-sklearn_PR_32,kannan-dedsec/synthetic-sklearn,1.0,1.0,1.0,1
3,synthetic-sklearn_PR_35,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
3,synthetic-sklearn_PR_37,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,1
3,synthetic-sklearn_PR_38,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
5,synthetic-django_PR_21,kannan-dedsec/synthetic-django,1.0,1.0,1.0,1
5,synthetic-django_PR_24,kannan-dedsec/synthetic-django,0.5,1.0,0.5,2
5,synthetic-django_PR_25,kannan-dedsec/synthetic-django,1.0,0.2,0.3333333333333333,1
5,synthetic-django_PR_33,kannan-dedsec/synthetic-django,0.3333333333333333,1.0,0.3333333333333333,3
5,synthetic-django_PR_35,kannan-dedsec/synthetic-django,0.0,0.0,0.0,2
5,synthetic-django_PR_36,kannan-dedsec/synthetic-django,0.0,0.0,0.0,1
5,synthetic-django_PR_39,kannan-dedsec/synthetic-django,0.5,1.0,0.375,4
5,synthetic-fastapi_PR_22,kannan-dedsec/synthetic-fastapi,0.5,1.0,0.5,2
5,synthetic-fastapi_PR_28,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
5,synthetic-fastapi_PR_30,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
5,synthetic-fastapi_PR_31,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
5,synthetic-fastapi_PR_32,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
5,synthetic-fastapi_PR_34,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
5,synthetic-fastapi_PR_38,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
5,synthetic-flask_PR_26,kannan-dedsec/synthetic-flask,0.5,1.0,0.5,2
5,synthetic-flask_PR_36,kannan-dedsec/synthetic-flask,0.3333333333333333,1.0,0.3333333333333333,3
5,synthetic-flask_PR_37,kannan-dedsec/synthetic-flask,1.0,0.2,1.0,1
5,synthetic-flask_PR_40,kannan-dedsec/synthetic-flask,0.3333333333333333,1.0,0.3333333333333333,3
5,synthetic-pandas_PR_27,kannan-dedsec/synthetic-pandas,0.5,1.0,0.5,2
5,synthetic-pandas_PR_32,kannan-dedsec/synthetic-pandas,1.0,1.0,1.0,1
5,synthetic-pandas_PR_34,kannan-dedsec/synthetic-pandas,0.5,1.0,0.5,2
5,synthetic-pandas_PR_36,kannan-dedsec/synthetic-pandas,0.3333333333333333,1.0,0.3333333333333333,3
5,synthetic-pandas_PR_38,kannan-dedsec/synthetic-pandas,1.0,0.2,1.0,1
5,synthetic-pandas_PR_40,kannan-dedsec/synthetic-pandas,0.3333333333333333,1.0,0.3333333333333333,3
5,synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,0.6666666666666666,1.0,0.4444444444444444,3
5,synthetic-sklearn_PR_25,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,1
5,synthetic-sklearn_PR_28,kannan-dedsec/synthetic-sklearn,0.5,0.2,0.25,2
5,synthetic-sklearn_PR_30,kannan-dedsec/synthetic-sklearn,0.5,0.8,0.5,2
5,synthetic-sklearn_PR_31,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,1
5,synthetic-sklearn_PR_32,kannan-dedsec/synthetic-sklearn,1.0,1.0,1.0,1
5,synthetic-sklearn_PR_35,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
5,synthetic-sklearn_PR_37,kannan-dedsec/synthetic-sklearn,1.0,0.2,0.25,1
5,synthetic-sklearn_PR_38,kannan-dedsec/synthetic-sklearn,0.5,0.2,0.125,2
7,synthetic-django_PR_21,kannan-dedsec/synthetic-django,1.0,1.0,1.0,1
7,synthetic-django_PR_24,kannan-dedsec/synthetic-django,0.5,1.0,0.5,2
7,synthetic-django_PR_25,kannan-dedsec/synthetic-django,1.0,0.2857142857142857,0.3333333333333333,1
7,synthetic-django_PR_33,kannan-dedsec/synthetic-django,0.3333333333333333,1.0,0.3333333333333333,3
7,synthetic-django_PR_35,kannan-dedsec/synthetic-django,0.0,0.0,0.0,2
7,synthetic-django_PR_36,kannan-dedsec/synthetic-django,0.0,0.0,0.0,1
7,synthetic-django_PR_39,kannan-dedsec/synthetic-django,0.5,1.0,0.375,4
7,synthetic-fastapi_PR_22,kannan-dedsec/synthetic-fastapi,0.5,1.0,0.5,2
7,synthetic-fastapi_PR_28,kannan-dedsec/synthetic-fastapi,1.0,0.2857142857142857,0.16666666666666666,1
7,synthetic-fastapi_PR_30,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
7,synthetic-fastapi_PR_31,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
7,synthetic-fastapi_PR_32,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
7,synthetic-fastapi_PR_34,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
7,synthetic-fastapi_PR_38,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
7,synthetic-flask_PR_26,kannan-dedsec/synthetic-flask,0.5,1.0,0.5,2
7,synthetic-flask_PR_36,kannan-dedsec/synthetic-flask,0.3333333333333333,1.0,0.3333333333333333,3
7,synthetic-flask_PR_37,kannan-dedsec/synthetic-flask,1.0,0.14285714285714285,1.0,1
7,synthetic-flask_PR_40,kannan-dedsec/synthetic-flask,0.3333333333333333,1.0,0.3333333333333333,3
7,synthetic-pandas_PR_27,kannan-dedsec/synthetic-pandas,0.5,1.0,0.5,2
7,synthetic-pandas_PR_32,kannan-dedsec/synthetic-pandas,1.0,1.0,1.0,1
7,synthetic-pandas_PR_34,kannan-dedsec/synthetic-pandas,0.5,1.0,0.5,2
7,synthetic-pandas_PR_36,kannan-dedsec/synthetic-pandas,0.3333333333333333,1.0,0.3333333333333333,3
7,synthetic-pandas_PR_38,kannan-dedsec/synthetic-pandas,1.0,0.2857142857142857,1.0,1
7,synthetic-pandas_PR_40,kannan-dedsec/synthetic-pandas,0.3333333333333333,0.8571428571428571,0.3333333333333333,3
7,synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,0.6666666666666666,1.0,0.4444444444444444,3
7,synthetic-sklearn_PR_25,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,1
7,synthetic-sklearn_PR_28,kannan-dedsec/synthetic-sklearn,1.0,0.42857142857142855,0.3333333333333333,2
7,synthetic-sklearn_PR_30,kannan-dedsec/synthetic-sklearn,1.0,0.8571428571428571,0.5833333333333334,2
7,synthetic-sklearn_PR_31,kannan-dedsec/synthetic-sklearn,1.0,0.14285714285714285,0.16666666666666666,1
7,synthetic-sklearn_PR_32,kannan-dedsec/synthetic-sklearn,1.0,1.0,1.0,1
7,synthetic-sklearn_PR_35,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
7,synthetic-sklearn_PR_37,kannan-dedsec/synthetic-sklearn,1.0,0.2857142857142857,0.25,1
7,synthetic-sklearn_PR_38,kannan-dedsec/synthetic-sklearn,0.5,0.14285714285714285,0.125,2
