id,repo,query_text,gt_categories,baseline_categories,reranked_categories
synthetic-fastapi_PR_32,kannan-dedsec/synthetic-fastapi,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['naming_convention'],"['naming_convention', 'indentation', 'naming_convention', 'naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation']","['naming_convention', 'naming_convention', 'indentation', 'indentation', 'documentation_formatting', 'documentation_formatting', 'unused_import']"
synthetic-pandas_PR_27,kannan-dedsec/synthetic-pandas,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['mutable_default', 'unused_import']","['indentation', 'documentation_formatting', 'indentation', 'documentation_formatting', 'naming_convention', 'indentation', 'indentation']","['indentation', 'documentation_formatting', 'indentation', 'naming_convention', 'documentation_formatting', 'naming_convention', 'unused_import']"
synthetic-pandas_PR_40,kannan-dedsec/synthetic-pandas,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['mutable_default', 'naming_convention', 'unused_import']","['indentation', 'documentation_formatting', 'indentation', 'documentation_formatting', 'naming_convention', 'indentation', 'indentation']","['indentation', 'documentation_formatting', 'indentation', 'naming_convention', 'documentation_formatting', 'naming_convention', 'unused_import']"
synthetic-sklearn_PR_25,kannan-dedsec/synthetic-sklearn,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['unused_import'],"['naming_convention', 'documentation_formatting', 'documentation_formatting', 'documentation_formatting', 'indentation', 'documentation_formatting', 'documentation_formatting']","['naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation', 'unused_import', 'unused_import', 'naming_convention']"
synthetic-pandas_PR_34,kannan-dedsec/synthetic-pandas,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['mutable_default', 'naming_convention']","['indentation', 'documentation_formatting', 'indentation', 'documentation_formatting', 'naming_convention', 'indentation', 'indentation']","['indentation', 'documentation_formatting', 'indentation', 'naming_convention', 'documentation_formatting', 'naming_convention', 'unused_import']"
synthetic-fastapi_PR_28,kannan-dedsec/synthetic-fastapi,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['unused_import'],"['naming_convention', 'indentation', 'naming_convention', 'naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation']","['naming_convention', 'naming_convention', 'indentation', 'indentation', 'documentation_formatting', 'documentation_formatting', 'unused_import']"
synthetic-sklearn_PR_31,kannan-dedsec/synthetic-sklearn,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['unused_import'],"['naming_convention', 'documentation_formatting', 'documentation_formatting', 'documentation_formatting', 'indentation', 'documentation_formatting', 'documentation_formatting']","['naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation', 'unused_import', 'unused_import', 'naming_convention']"
synthetic-flask_PR_36,kannan-dedsec/synthetic-flask,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['indentation', 'naming_convention', 'unused_import']","['indentation', 'indentation', 'indentation', 'naming_convention', 'documentation_formatting', 'documentation_formatting', 'unused_import']","['indentation', 'indentation', 'naming_convention', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'unused_import']"
synthetic-sklearn_PR_35,kannan-dedsec/synthetic-sklearn,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['documentation_formatting', 'unused_import']","['naming_convention', 'documentation_formatting', 'documentation_formatting', 'documentation_formatting', 'indentation', 'documentation_formatting', 'documentation_formatting']","['naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation', 'unused_import', 'unused_import', 'naming_convention']"
synthetic-flask_PR_40,kannan-dedsec/synthetic-flask,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['mutable_default', 'naming_convention', 'unused_import']","['indentation', 'indentation', 'indentation', 'naming_convention', 'documentation_formatting', 'documentation_formatting', 'unused_import']","['indentation', 'indentation', 'naming_convention', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'unused_import']"
synthetic-sklearn_PR_37,kannan-dedsec/synthetic-sklearn,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['mutable_default'],"['naming_convention', 'documentation_formatting', 'documentation_formatting', 'documentation_formatting', 'indentation', 'documentation_formatting', 'documentation_formatting']","['naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation', 'unused_import', 'unused_import', 'naming_convention']"
synthetic-django_PR_21,kannan-dedsec/synthetic-django,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['unused_import'],"['indentation', 'unused_import', 'naming_convention', 'documentation_formatting', 'indentation', 'indentation', 'indentation']","['indentation', 'indentation', 'unused_import', 'naming_convention', 'documentation_formatting', 'naming_convention', 'documentation_formatting']"
synthetic-fastapi_PR_22,kannan-dedsec/synthetic-fastapi,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['naming_convention', 'unused_import']","['naming_convention', 'indentation', 'naming_convention', 'naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation']","['naming_convention', 'naming_convention', 'indentation', 'indentation', 'documentation_formatting', 'documentation_formatting', 'unused_import']"
synthetic-sklearn_PR_28,kannan-dedsec/synthetic-sklearn,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['mutable_default', 'unused_import']","['naming_convention', 'documentation_formatting', 'documentation_formatting', 'documentation_formatting', 'indentation', 'documentation_formatting', 'documentation_formatting']","['naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation', 'unused_import', 'unused_import', 'naming_convention']"
synthetic-flask_PR_26,kannan-dedsec/synthetic-flask,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['indentation', 'naming_convention']","['indentation', 'indentation', 'indentation', 'naming_convention', 'documentation_formatting', 'documentation_formatting', 'unused_import']","['indentation', 'indentation', 'naming_convention', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'unused_import']"
synthetic-pandas_PR_36,kannan-dedsec/synthetic-pandas,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['indentation', 'naming_convention', 'unused_import']","['indentation', 'documentation_formatting', 'indentation', 'documentation_formatting', 'naming_convention', 'indentation', 'indentation']","['indentation', 'documentation_formatting', 'indentation', 'naming_convention', 'documentation_formatting', 'naming_convention', 'unused_import']"
