id,repo,query_text,gt_categories,baseline_categories,reranked_balanced,reranked_semantic_lean,reranked_diversity_lexical
synthetic-django_PR_33,kannan-dedsec/synthetic-django,"repo family: django ; import statements count: 6 ; camelCase identifiers: assertEqual, assertFalse, assertIn, assertTrue, setUp ; mutable-default patterns: 0 ; non-4-space indentation lines: 22 ; docstring markers count: 12 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style","['documentation_formatting', 'indentation', 'unused_import']","['naming_convention', 'naming_convention', 'unused_import', 'naming_convention', 'indentation', 'naming_convention', 'indentation']","['naming_convention', 'naming_convention', 'unused_import', 'indentation', 'indentation', 'unused_import', 'documentation_formatting']","['naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'indentation', 'indentation', 'indentation']","['naming_convention', 'unused_import', 'indentation', 'documentation_formatting']"
synthetic-pandas_PR_38,kannan-dedsec/synthetic-pandas,"repo family: pandas ; import statements count: 5 ; camelCase identifiers: nPercentage, nResampled, nRolling, nShifted ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 10 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | documentation_formatting docstring summary style",['unused_import'],"['documentation_formatting', 'documentation_formatting', 'naming_convention', 'naming_convention', 'unused_import', 'documentation_formatting', 'naming_convention']","['documentation_formatting', 'naming_convention', 'documentation_formatting', 'naming_convention', 'unused_import', 'indentation', 'indentation']","['documentation_formatting', 'naming_convention', 'documentation_formatting', 'naming_convention', 'unused_import', 'documentation_formatting', 'naming_convention']","['documentation_formatting', 'naming_convention', 'unused_import', 'indentation']"
synthetic-flask_PR_37,kannan-dedsec/synthetic-flask,"repo family: flask ; import statements count: 2 ; camelCase identifiers: nEmail, nFile ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 10 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | documentation_formatting docstring summary style",['documentation_formatting'],"['naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'naming_convention', 'naming_convention', 'naming_convention']","['naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'indentation', 'documentation_formatting', 'documentation_formatting']","['naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'indentation', 'unused_import', 'documentation_formatting']","['naming_convention', 'unused_import', 'indentation', 'documentation_formatting']"
synthetic-django_PR_25,kannan-dedsec/synthetic-django,repo family: django ; import statements count: 7 ; camelCase identifiers: getLogger ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 8 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | documentation_formatting docstring summary style,['unused_import'],"['naming_convention', 'unused_import', 'naming_convention', 'naming_convention', 'unused_import', 'naming_convention', 'unused_import']","['naming_convention', 'unused_import', 'naming_convention', 'unused_import', 'indentation', 'indentation']","['naming_convention', 'unused_import', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'indentation']","['naming_convention', 'unused_import', 'indentation']"
synthetic-sklearn_PR_38,kannan-dedsec/synthetic-sklearn,repo family: scikit-learn ; import statements count: 12 ; camelCase identifiers: none ; mutable-default patterns: 3 ; non-4-space indentation lines: 0 ; docstring markers count: 14 ; category hints: unused_import import cleanup dead import | mutable_default B006 W0102 dangerous-default-value mutable argument default list dict set defaultdict none sentinel | documentation_formatting docstring summary style ; mutable-default evidence: Line 40: Function 'test_preprocessing' uses mutable default for argument 'iris_data'. | Line 49: Function 'test_train_classifier' uses mutable default for argument 'iris_data'.,"['mutable_default', 'unused_import']","['mutable_default', 'mutable_default', 'naming_convention', 'naming_convention', 'unused_import', 'mutable_default', 'naming_convention']","['mutable_default', 'mutable_default', 'unused_import', 'documentation_formatting', 'unused_import', 'documentation_formatting', 'naming_convention']","['mutable_default', 'mutable_default', 'unused_import', 'mutable_default', 'documentation_formatting', 'unused_import', 'unused_import']","['mutable_default', 'unused_import', 'documentation_formatting', 'naming_convention']"
synthetic-sklearn_PR_32,kannan-dedsec/synthetic-sklearn,"repo family: scikit-learn ; import statements count: 3 ; camelCase identifiers: evaluateClassifier, evaluateModel, evaluateRegressor ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 8 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | documentation_formatting docstring summary style",['naming_convention'],"['naming_convention', 'unused_import', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'naming_convention']","['naming_convention', 'unused_import', 'naming_convention', 'unused_import', 'documentation_formatting', 'documentation_formatting']","['naming_convention', 'unused_import', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'documentation_formatting']","['naming_convention', 'unused_import', 'documentation_formatting']"
synthetic-fastapi_PR_30,kannan-dedsec/synthetic-fastapi,"repo family: fastapi ; import statements count: 3 ; camelCase identifiers: checkEmail, checkUsername ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 16 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | documentation_formatting docstring summary style",['naming_convention'],"['naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'naming_convention', 'unused_import', 'naming_convention']","['naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'documentation_formatting', 'indentation', 'documentation_formatting']","['naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'unused_import', 'documentation_formatting']","['naming_convention', 'unused_import', 'documentation_formatting', 'indentation']"
synthetic-fastapi_PR_32,kannan-dedsec/synthetic-fastapi,"repo family: fastapi ; import statements count: 4 ; camelCase identifiers: createItem, deleteItem, getItem, updateItem ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 12 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | documentation_formatting docstring summary style",['naming_convention'],"['unused_import', 'naming_convention', 'naming_convention', 'naming_convention', 'naming_convention', 'naming_convention', 'unused_import']","['unused_import', 'naming_convention', 'naming_convention', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'indentation']","['unused_import', 'naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'documentation_formatting']","['unused_import', 'naming_convention', 'documentation_formatting', 'indentation']"
synthetic-pandas_PR_27,kannan-dedsec/synthetic-pandas,repo family: pandas ; import statements count: 3 ; camelCase identifiers: none ; mutable-default patterns: 2 ; non-4-space indentation lines: 0 ; docstring markers count: 12 ; category hints: unused_import import cleanup dead import | mutable_default B006 W0102 dangerous-default-value mutable argument default list dict set defaultdict none sentinel | documentation_formatting docstring summary style ; mutable-default evidence: Line 71: Function 'binning' uses mutable default for argument 'bins'. | Line 71: Function 'binning' uses mutable default for argument 'labels'.,"['mutable_default', 'unused_import']","['mutable_default', 'mutable_default', 'mutable_default', 'mutable_default', 'mutable_default', 'mutable_default', 'indentation']","['mutable_default', 'mutable_default', 'indentation', 'unused_import', 'indentation', 'unused_import', 'documentation_formatting']","['mutable_default', 'mutable_default', 'mutable_default', 'indentation', 'unused_import', 'indentation', 'unused_import']","['mutable_default', 'indentation', 'unused_import', 'documentation_formatting', 'naming_convention']"
synthetic-pandas_PR_40,kannan-dedsec/synthetic-pandas,"repo family: pandas ; import statements count: 2 ; camelCase identifiers: applyWindowFunctions, ewmSmoothing, ewmSpan, expandingMean, rollingStatistics, rollingWindow ; mutable-default patterns: 4 ; non-4-space indentation lines: 3 ; docstring markers count: 10 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | indentation 4-space tabs spaces | mutable_default B006 W0102 dangerous-default-value mutable argument default list dict set defaultdict none sentinel | documentation_formatting docstring summary style ; mutable-default evidence: Line 11: Function 'rollingStatistics' uses mutable default for argument 'min_periods'. | Line 28: Function 'expandingMean' uses mutable default for argument 'min_periods'.","['mutable_default', 'naming_convention', 'unused_import']","['naming_convention', 'naming_convention', 'naming_convention', 'mutable_default', 'naming_convention', 'naming_convention', 'indentation']","['naming_convention', 'naming_convention', 'mutable_default', 'indentation', 'mutable_default', 'indentation', 'documentation_formatting']","['naming_convention', 'naming_convention', 'naming_convention', 'mutable_default', 'indentation', 'mutable_default', 'mutable_default']","['naming_convention', 'mutable_default', 'indentation', 'documentation_formatting', 'unused_import']"
synthetic-sklearn_PR_25,kannan-dedsec/synthetic-sklearn,repo family: scikit-learn ; import statements count: 7 ; camelCase identifiers: none ; mutable-default patterns: 0 ; non-4-space indentation lines: 3 ; docstring markers count: 8 ; category hints: unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style,['unused_import'],"['unused_import', 'unused_import', 'naming_convention', 'unused_import', 'documentation_formatting', 'naming_convention', 'unused_import']","['unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'indentation', 'naming_convention', 'naming_convention']","['unused_import', 'unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'documentation_formatting', 'indentation']","['unused_import', 'documentation_formatting', 'indentation', 'naming_convention']"
synthetic-pandas_PR_34,kannan-dedsec/synthetic-pandas,"repo family: pandas ; import statements count: 2 ; camelCase identifiers: colVar, createPivot, crossTabulation, fillValue, pivotAndFill, rowVar ; mutable-default patterns: 2 ; non-4-space indentation lines: 1 ; docstring markers count: 8 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | indentation 4-space tabs spaces | mutable_default B006 W0102 dangerous-default-value mutable argument default list dict set defaultdict none sentinel | documentation_formatting docstring summary style ; mutable-default evidence: Line 31: Function 'crossTabulation' uses mutable default for argument 'values'. | Line 50: Function 'pivotAndFill' uses mutable default for argument 'fillValue'.","['mutable_default', 'naming_convention']","['naming_convention', 'mutable_default', 'indentation', 'mutable_default', 'indentation', 'naming_convention', 'indentation']","['naming_convention', 'mutable_default', 'indentation', 'mutable_default', 'naming_convention', 'indentation']","['naming_convention', 'mutable_default', 'indentation', 'mutable_default', 'naming_convention', 'indentation', 'indentation']","['naming_convention', 'mutable_default', 'indentation']"
synthetic-fastapi_PR_28,kannan-dedsec/synthetic-fastapi,"repo family: fastapi ; import statements count: 10 ; camelCase identifiers: addHandler, dT, getLogger, setFormatter, setLevel ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 6 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | documentation_formatting docstring summary style",['unused_import'],"['naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'unused_import', 'unused_import']","['naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'indentation']","['naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'unused_import', 'documentation_formatting']","['naming_convention', 'unused_import', 'documentation_formatting', 'indentation']"
synthetic-sklearn_PR_31,kannan-dedsec/synthetic-sklearn,repo family: scikit-learn ; import statements count: 8 ; camelCase identifiers: none ; mutable-default patterns: 0 ; non-4-space indentation lines: 3 ; docstring markers count: 8 ; category hints: unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style,['unused_import'],"['unused_import', 'unused_import', 'naming_convention', 'unused_import', 'documentation_formatting', 'naming_convention', 'unused_import']","['unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'indentation', 'naming_convention', 'naming_convention']","['unused_import', 'unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'documentation_formatting', 'indentation']","['unused_import', 'documentation_formatting', 'indentation', 'naming_convention']"
synthetic-flask_PR_36,kannan-dedsec/synthetic-flask,"repo family: flask ; import statements count: 5 ; camelCase identifiers: formatDateTime, paginateQuery, sendEmail, totalItems ; mutable-default patterns: 0 ; non-4-space indentation lines: 25 ; docstring markers count: 10 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style","['indentation', 'naming_convention', 'unused_import']","['naming_convention', 'naming_convention', 'unused_import', 'naming_convention', 'naming_convention', 'naming_convention', 'naming_convention']","['naming_convention', 'naming_convention', 'unused_import', 'indentation', 'indentation', 'unused_import', 'documentation_formatting']","['naming_convention', 'naming_convention', 'unused_import', 'naming_convention', 'indentation', 'indentation', 'unused_import']","['naming_convention', 'unused_import', 'indentation', 'documentation_formatting']"
synthetic-sklearn_PR_35,kannan-dedsec/synthetic-sklearn,repo family: scikit-learn ; import statements count: 10 ; camelCase identifiers: none ; mutable-default patterns: 0 ; non-4-space indentation lines: 1 ; docstring markers count: 12 ; category hints: unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style,"['documentation_formatting', 'unused_import']","['unused_import', 'unused_import', 'unused_import', 'naming_convention', 'documentation_formatting', 'unused_import', 'naming_convention']","['unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'indentation', 'naming_convention', 'naming_convention']","['unused_import', 'unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'documentation_formatting', 'indentation']","['unused_import', 'documentation_formatting', 'indentation', 'naming_convention']"
synthetic-flask_PR_40,kannan-dedsec/synthetic-flask,repo family: flask ; import statements count: 2 ; camelCase identifiers: aboutUs ; mutable-default patterns: 2 ; non-4-space indentation lines: 0 ; docstring markers count: 8 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | mutable_default B006 W0102 dangerous-default-value mutable argument default list dict set defaultdict none sentinel | documentation_formatting docstring summary style ; mutable-default evidence: Line 27: Function 'dashboard' uses mutable default for argument 'data'. | Line 37: Function 'bar' uses mutable default for argument 'baz'.,"['mutable_default', 'naming_convention', 'unused_import']","['mutable_default', 'mutable_default', 'mutable_default', 'mutable_default', 'mutable_default', 'mutable_default', 'mutable_default']","['mutable_default', 'mutable_default', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import']","['mutable_default', 'mutable_default', 'mutable_default', 'naming_convention', 'naming_convention', 'naming_convention', 'unused_import']","['mutable_default', 'naming_convention', 'unused_import']"
synthetic-sklearn_PR_37,kannan-dedsec/synthetic-sklearn,repo family: scikit-learn ; import statements count: 5 ; camelCase identifiers: none ; mutable-default patterns: 4 ; non-4-space indentation lines: 0 ; docstring markers count: 10 ; category hints: unused_import import cleanup dead import | mutable_default B006 W0102 dangerous-default-value mutable argument default list dict set defaultdict none sentinel | documentation_formatting docstring summary style ; mutable-default evidence: Line 16: Function 'train_linear' uses mutable default for argument 'options'. | Line 28: Function 'train_ridge' uses mutable default for argument 'alpha'.,['mutable_default'],"['mutable_default', 'mutable_default', 'unused_import', 'naming_convention', 'mutable_default', 'naming_convention', 'naming_convention']","['mutable_default', 'mutable_default', 'unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'naming_convention']","['mutable_default', 'mutable_default', 'unused_import', 'mutable_default', 'unused_import', 'documentation_formatting', 'documentation_formatting']","['mutable_default', 'unused_import', 'documentation_formatting', 'naming_convention']"
synthetic-django_PR_21,kannan-dedsec/synthetic-django,repo family: django ; import statements count: 7 ; camelCase identifiers: none ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 12 ; category hints: unused_import import cleanup dead import | documentation_formatting docstring summary style,['unused_import'],"['unused_import', 'unused_import', 'unused_import', 'unused_import', 'unused_import', 'unused_import', 'indentation']","['unused_import', 'unused_import', 'indentation', 'indentation', 'documentation_formatting', 'documentation_formatting', 'naming_convention']","['unused_import', 'unused_import', 'unused_import', 'indentation', 'indentation', 'documentation_formatting', 'documentation_formatting']","['unused_import', 'indentation', 'documentation_formatting', 'naming_convention']"
synthetic-fastapi_PR_22,kannan-dedsec/synthetic-fastapi,"repo family: fastapi ; import statements count: 5 ; camelCase identifiers: createItem, getItem, getItems, updateItem ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 10 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | documentation_formatting docstring summary style","['naming_convention', 'unused_import']","['naming_convention', 'naming_convention', 'unused_import', 'naming_convention', 'naming_convention', 'naming_convention', 'naming_convention']","['naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'documentation_formatting']","['naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'unused_import', 'documentation_formatting']","['naming_convention', 'unused_import', 'documentation_formatting']"
synthetic-sklearn_PR_28,kannan-dedsec/synthetic-sklearn,repo family: scikit-learn ; import statements count: 8 ; camelCase identifiers: none ; mutable-default patterns: 4 ; non-4-space indentation lines: 0 ; docstring markers count: 12 ; category hints: unused_import import cleanup dead import | mutable_default B006 W0102 dangerous-default-value mutable argument default list dict set defaultdict none sentinel | documentation_formatting docstring summary style ; mutable-default evidence: Line 18: Function 'extract_text_features' uses mutable default for argument 'documents'. | Line 45: Function 'extract_image_features' uses mutable default for argument 'images'.,"['mutable_default', 'unused_import']","['mutable_default', 'mutable_default', 'naming_convention', 'unused_import', 'naming_convention', 'naming_convention', 'documentation_formatting']","['mutable_default', 'mutable_default', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'unused_import', 'naming_convention']","['mutable_default', 'mutable_default', 'unused_import', 'mutable_default', 'documentation_formatting', 'documentation_formatting', 'unused_import']","['mutable_default', 'unused_import', 'documentation_formatting', 'naming_convention']"
synthetic-flask_PR_26,kannan-dedsec/synthetic-flask,"repo family: flask ; import statements count: 4 ; camelCase identifiers: setLoginMessage, setLoginView, setMailServer ; mutable-default patterns: 0 ; non-4-space indentation lines: 2 ; docstring markers count: 14 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style","['indentation', 'naming_convention']","['naming_convention', 'naming_convention', 'unused_import', 'naming_convention', 'naming_convention', 'naming_convention', 'naming_convention']","['naming_convention', 'naming_convention', 'unused_import', 'indentation', 'indentation', 'unused_import']","['naming_convention', 'naming_convention', 'unused_import', 'naming_convention', 'indentation', 'indentation', 'unused_import']","['naming_convention', 'unused_import', 'indentation']"
synthetic-pandas_PR_36,kannan-dedsec/synthetic-pandas,"repo family: pandas ; import statements count: 3 ; camelCase identifiers: extractPatterns, nCleaned, nExtracted, nSplit, splitColumns ; mutable-default patterns: 0 ; non-4-space indentation lines: 2 ; docstring markers count: 10 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style","['indentation', 'naming_convention', 'unused_import']","['indentation', 'documentation_formatting', 'indentation', 'indentation', 'indentation', 'indentation', 'documentation_formatting']","['indentation', 'documentation_formatting', 'indentation', 'naming_convention', 'documentation_formatting', 'naming_convention', 'unused_import']","['indentation', 'documentation_formatting', 'indentation', 'indentation', 'naming_convention', 'documentation_formatting', 'naming_convention']","['indentation', 'documentation_formatting', 'naming_convention', 'unused_import']"
synthetic-fastapi_PR_21,kannan-dedsec/synthetic-fastapi,repo family: fastapi ; import statements count: 5 ; camelCase identifiers: none ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 8 ; category hints: unused_import import cleanup dead import | documentation_formatting docstring summary style,['unused_import'],"['unused_import', 'unused_import', 'unused_import', 'unused_import', 'documentation_formatting', 'naming_convention', 'unused_import']","['unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'naming_convention', 'indentation', 'naming_convention']","['unused_import', 'unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'documentation_formatting', 'naming_convention']","['unused_import', 'documentation_formatting', 'naming_convention', 'indentation']"
